Order_ID,Order_Date,Product,Category,Region,Quantity,Sales,Profit
ORD-001,2023-01-05,iPhone 14 Pro,Electronics,North,2,1998,399.60
ORD-002,2023-01-07,Samsung Galaxy S23,Electronics,West,1,899,179.80
ORD-003,2023-01-10,MacBook Pro 14,Electronics,South,1,1999,499.75
ORD-004,2023-01-12,Office Chair Pro,Furniture,East,3,897,269.10
ORD-005,2023-01-15,Standing Desk Elite,Furniture,North,1,649,194.70
ORD-006,2023-01-18,Sony WH-1000XM5,Electronics,West,2,598,179.40
ORD-007,2023-01-20,HP LaserJet Pro,Office Supplies,South,1,449,134.70
ORD-008,2023-01-22,Conference Table,Furniture,East,1,1299,389.70
ORD-009,2023-01-25,Dell Monitor 27,Electronics,North,4,1596,478.80
ORD-010,2023-01-28,Paper Box A4,Office Supplies,West,50,249,99.60
ORD-011,2023-02-02,iPad Air,Electronics,South,3,1797,449.25
ORD-012,2023-02-05,Ergonomic Keyboard,Office Supplies,East,5,449,179.60
ORD-013,2023-02-08,Apple Watch Ultra,Electronics,North,2,1598,479.40
ORD-014,2023-02-11,Desk Lamp LED,Office Supplies,West,8,319,127.60
ORD-015,2023-02-14,Filing Cabinet,Furniture,South,2,458,137.40
ORD-016,2023-02-17,Surface Pro 9,Electronics,East,1,1299,389.70
ORD-017,2023-02-20,Wireless Mouse,Office Supplies,North,10,299,149.50
ORD-018,2023-02-23,Bookshelf Oak,Furniture,West,2,698,209.40
ORD-019,2023-02-26,Canon EOS R6,Electronics,South,1,2499,624.75
ORD-020,2023-03-01,Printer Paper,Office Supplies,East,100,399,199.50
ORD-021,2023-03-04,LG OLED TV 55,Electronics,North,1,1299,389.70
ORD-022,2023-03-07,Office Sofa,Furniture,West,1,899,269.70
ORD-023,2023-03-10,AirPods Pro,Electronics,South,5,1249,374.70
ORD-024,2023-03-13,Whiteboard Large,Office Supplies,East,2,358,143.20
ORD-025,2023-03-16,Gaming Chair X,Furniture,North,3,1197,359.10
ORD-026,2023-03-19,ThinkPad X1 Carbon,Electronics,West,2,3598,899.50
ORD-027,2023-03-22,Stapler Heavy Duty,Office Supplies,South,20,178,89.00
ORD-028,2023-03-25,Coat Rack,Furniture,East,4,316,94.80
